등급분류번호,게임물명,제작자,자체등급,자체등급분류사업자,결정일자,구분,결정등급
RE-OM-221027-005,Discape,Kraker Studio,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-006,FPS COMMANDO SHOOTING GAME,Game Play Dev,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-007,Offline Gun Shooting Games 3D,Iconic Action & Shooting Games,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-008,Offline Gun Shooting Games 3D,Iconic Action & Shooting Games,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-009,Gas Mask X Horror Game,ViC,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-010,FightingRagdoll,GGgames!,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-011,Rocket Clash 3D - Explosive Shooter,Freeway Interactive,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-012,American Fire Fighter Airplane Rescue Heroes 2019,Storm Breakxr,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-013,Nipe Shot,Ergundogan,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-014,Shooter.io,Pratham Marketing,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-015,Agent Bob - spy missions,SmartiSoft,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-016,Battle of Mighty Dragons: Archery Game 2020,Xuan Bui Developer,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-017,Animal confrontation game,conceptzandbe yond,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-018,Bat Hero Man Grand Theft,Valdemar Dev,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-019,CS Warfare Heli Shooting Games,Strange Hero Monster Games,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-020,Sniper soldier war game 2022,Gun Encounter Games,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-021,FPS Gun Shooting striker Games,Upward Studio,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-022,Gun Game 3d FPS Shooting Games,The Game Beast,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-023,Sniper Champion,Minimalist Games,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-024,Critical Shooters - Zoobia&FPS,The Great Hippo,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-025,Critical Strike Offline: CS,Offline X Games,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-026,Bullet 31,Dynasto Afedo,,APPLE,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-027,Zombie Chop,ACube,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-028,Modern FPS Military Strike,Frenzy Games Studio,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-029,Call For Combat Mission Duty,DreamsPlay Studio,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-030,Car Drive Long Road Trip Game,Syed Ahmed,,APPLE,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-031,Scary Granny Games : Creepy Horror Game 2021,Mega Minds,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-032,Scary Subway Train Escape Game,Aamir Hussain,,APPLE,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-033,Samurai Ninja Warrior - Sword Fighting Games 2020,Super Effective Inc.,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-034,Real Dino Hunting,Juju Games Solution,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-035,Unit,OneUnit,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-036,Goblin Treasures,Nelssson Games and Applications,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-037,Sniper Shooting: Shooting Game,Awais Ch.,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-038,Counter Fire Shooting Games,Topnotch Solutions,,Google,2022-10-27,직권등급재분류,청소년이용불가
RE-OM-221027-039,Battle Fps Shooting War,Daviding Games,,Google,2022-10-27,직권등급재분류,청소년이용불가
