rateno,gametitle,genre,content,grade,
GOOG-SG-220131-0117,poker legends,퍼즐,,전체이용가,
GOOG-SG-220131-0358,Minesweeper,퍼즐,,전체이용가,
GOOG-SG-220131-0218,Cerdas Cermat Islam,기타,,전체이용가,
GOOG-SG-220131-0780,Jewlery Crash Escape,퍼즐,,전체이용가,
GOOG-SG-220131-0026,中秋節猜燈謎2023 - ?NFT頭像,기타,,전체이용가,
GOOG-SG-220131-0653,Hidden Object : Mystery Place,퍼즐,,전체이용가,
GOOG-SG-220131-0345,geometry emoji level hard,기타,,전체이용가,
GOOG-SG-220131-0790,Sky Jet,액션,폭력성,,
GOOG-SG-220131-0427,Duality,기타,,전체이용가,
GOOG-SG-220131-0696,복고풍 비디오 게임 센터 프로,액션,,전체이용가,
GOOG-SG-220131-0487,Progle,기타,,전체이용가,
GOOG-SG-220131-0831,Dream Forest,기타,,전체이용가,
GOOG-SG-220131-0890,Santa Sled Runner,RPG,,전체이용가,
GOOG-SG-220131-0271,Construction Master,기타,,전체이용가,
GOOG-SG-220131-0348,Laserman,어드벤처,,전체이용가,
GOOG-SG-220131-0526,Diamond Bling:Match 3 Diamonds,기타,,전체이용가,
GOOG-SG-220131-0913,Boggee - A snake game,기타,,전체이용가,
GOOG-SG-220131-0216,Star Block Puzzle Jewel Game,퍼즐,,전체이용가,
GOOG-SG-220131-0611,Become a Therapist,시뮬레이션,,전체이용가,
GOOG-SG-220131-0888,Wordel Challenge - Word Puzzle,기타,,전체이용가,
GOOG-SG-220131-0776,Tasty Candies: Match 3 Puzzle,퍼즐,,전체이용가,
GOOG-SG-220131-0651,Wheels way,기타,,전체이용가,
GOOG-SG-220131-0474,Adım Adım ?mla Pro (KPSS-YKS),기타,,전체이용가,
GOOG-SG-220131-0836,Rocket Launcher,기타,,전체이용가,
GOOG-SG-220131-0881,기계 로봇 전투 전쟁 로봇,전략,,전체이용가,
GOOG-SG-220131-0299,Dice Merge - Merge Dom Puzzle,퍼즐,,전체이용가,
GOOG-SG-220131-0083,Stick Tails: Battle Mania,퍼즐,,전체이용가,
GOOG-SG-220131-0614,팝업 장난감 3d-fidget 거래,기타,,전체이용가,
GOOG-SG-220131-0322,SCI-FI Chess 3D,기타,,전체이용가,
GOOG-SG-220131-0741,Indian Tractor Games Simulator,퍼즐,,전체이용가,
GOOG-SG-220131-0659,Card Picker : Fancy Cards Game,퍼즐,,전체이용가,
GOOG-SG-220131-0690,BERKEMA : Belajar Matematika,기타,,전체이용가,
GOOG-SG-220131-0739,Cooking max: 요리게임그리고레스토랑 게임,기타,,전체이용가,
MSFT-SG-220131-0003,Remove Ads,기타,,전체이용가,
NTDO-SG-220131-0003,Red White Yellow Zinger,기타,,전체이용가,
NTDO-SG-220131-0001,SpelunKing: The Mine Match,기타,,전체이용가,
MSFT-SG-220131-0007,Gunducky Industries++,액션,폭력성,전체이용가,
MSFT-SG-220131-0002,Mountain Bike Simulator - Motocross racing,,,,
GOOG-SG-220131-0740,Coach Bus Driving: Cop Games,기타,공포,전체이용가,
GOOG-SG-220131-0758,Cooking Charm Restaurant Games,기타,,전체이용가,
GOOG-SG-220131-0763,Reversi,퍼즐,,전체이용가,
GOOG-SG-220131-0698,Count and Bounce 3D,퍼즐,,전체이용가,
