genre,platform,org_type,grade,year,dev_history,description,reclassified,gametitle
퍼즐,구글플레이,중소,전체이용가,2026,없음,폭력성,0,바바리안 불렛
퍼즐,구글플레이,중소,전체이용가,2026,없음,폭력성,0,Gembiltz(젬블리츠)
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,무한의 목장
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,오늘의 야구왕
시뮬레이션,구글플레이,중소,전체이용가,2026,없음,,0,대비록: 옥좌의 저울
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,똥 피하기
퍼즐,구글플레이,중소,전체이용가,2026,없음,,0,PIXEL BEADS
기타,구글플레이,중소,전체이용가,2026,없음,,0,요기월드
격투,구글플레이,개인,전체이용가,2026,없음,폭력성,0,화풀기
퍼즐,구글플레이,중소,전체이용가,2026,없음,폭력성,0,모두의 브르르르
슈팅,구글플레이,중소,전체이용가,2026,없음,폭력성,0,무한의 슈팅
기타,기타,중소,청소년이용불가,2026,4회 이상,,0,큐브포커
슈팅,기타,중소,전체이용가,2026,없음,폭력성,0,MONSTER WATER PARK DX (몬스터 워터파크 DX)
기타,기타,중소,전체이용가,2026,없음,,0,AQUA SPEED JET (아쿠아 스피드 젯)
기타,기타,중소,전체이용가,2026,없음,,0,OFFROAD RACECAR TWIN (오프로드 레이스카 트윈)
기타,기타,중소,전체이용가,2026,없음,,0,뉴깨비(NEW GGAEBI)
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,OK3Dholdem
기타,PC (Steam),중소,청소년이용불가,2026,없음,사행성,0,피망 쇼다운 홀덤 잭팟 싯앤고 PC(Pmang SHOWDOWN HOLD’EM JACKPOT SIT＆GO)
기타,기타,중소,청소년이용불가,2026,없음,,0,세븐킹덤 -인연의 기억-
기타,구글플레이,중소,청소년이용불가,2026,없음,사행성,0,피망 쇼다운 홀덤 잭팟 싯앤고(Pmang SHOWDOWN HOLD’EM JACKPOT SIT＆GO)
